Word,Count
#LinearLayoutCompat_Layout_android_layout_gravity,2
#AppCompatTheme_actionBarDivider,2
#AppCompatTheme_actionOverflowButtonStyle,2
android:minWidth,2
<tr><td><code>bottom</code></td><td>0x50</td><td></td></tr>,2
#ConstraintLayout_Layout_layout_constraintBottom_toTopOf,2
android.R.attr#focusable},2
file,2
#Toolbar_subtitle,2
#ActionBar_contentInsetStartWithNavigation,2
alexlahdekorpi.bclepakko:layout_constraintBottom_toTopOf,2
alexlahdekorpi.bclepakko.R.attr#homeAsUpIndicator},2
#Spinner_android_dropDownWidth,2
#AppCompatSeekBar_tickMark,2
alexlahdekorpi.bclepakko:layout_constraintVertical_bias}</code></td><td></td></tr>,2
<tr><td><code>listMode</code></td><td>1</td><td></td></tr>,2
android.R.attr#windowAnimationStyle},2
alexlahdekorpi.bclepakko:layout_constraintRight_toRightOf}</code></td><td></td></tr>,2
#ActionBar_title,2
#AppCompatTheme_listChoiceBackgroundIndicator,2
#ConstraintLayout_Layout_layout_constraintTop_toBottomOf,2
#ConstraintLayout_Layout_android_minWidth,2
#ConstraintSet_layout_constraintVertical_weight,2
#ActionMode_height,2
#AppCompatTheme_textAppearanceLargePopupMenu,2
#AlertDialog_multiChoiceItemLayout,2
#AppCompatTheme_actionBarTabBarStyle,2
#ViewBackgroundHelper_backgroundTintMode,2
alexlahdekorpi.bclepakko:layout_constraintRight_toLeftOf,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintBaseline_creator},2
#AppCompatTheme_actionBarSize,2
#AppCompatTheme_actionDropDownStyle,2
#ActionMode_closeItemLayout,2
#Spinner_android_prompt,2
#AppCompatTheme_controlBackground,2
#MenuItem_actionViewClass,2
#ConstraintLayout_Layout_layout_constraintRight_toRightOf,2
#ActivityChooserView_expandActivityOverflowButtonDrawable,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintGuide_begin},2
#LinearLayoutCompat_android_orientation,2
#AppCompatTheme_actionBarTabStyle,2
#ConstraintLayout_Layout_layout_constraintLeft_creator,2
<tr><td><code>withText</code></td><td>4</td><td></td></tr>,2
#MenuGroup_android_orderInCategory,2
alexlahdekorpi.bclepakko:layout_constraintTop_toTopOf}</code></td><td></td></tr>,2
#MenuView_android_windowAnimationStyle,2
#ActionBar_displayOptions,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintWidth_max},2
#AppCompatTheme_homeAsUpIndicator,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintVertical_bias},2
#ConstraintLayout_Layout_layout_constraintRight_creator,2
#AppCompatTheme_colorPrimaryDark,2
android:gravity}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintHeight_max,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintGuide_percent},2
android:alpha}</code></td><td></td></tr>,2
#AppCompatTheme_android_windowAnimationStyle,2
#ConstraintSet_layout_constraintWidth_max,2
#ConstraintSet_android_orientation,2
alexlahdekorpi.bclepakko:layout_goneMarginTop}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintHeight_max},2
#ConstraintSet_layout_constraintTop_toBottomOf,2
